"","Name","Studios","Score","Popularity","Source"
"681","Monster Hunter Stories: Ride On","David Production","6.21",4378,"Game"
"682","Neko Neko Nihonshi 2nd Season","Joker Films","6.21",12283,"Web manga"
"683","Yatogame-chan Kansatsu Nikki","Creators in Pack, Saetta","6.21",3441,"4-koma manga"
"684","Huckleberry no Bouken","Group TAC","6.22",9711,"Novel"
"685","Maicching Machiko-sensei","Studio Pierrot","6.22",8150,"Manga"
"686","Kitty's Paradise","Bones, Sanrio","6.22",10163,"Original"
"687","Moeru! Oniisan","Studio Pierrot","6.22",10739,"Manga"
"688","Jetter Mars","Toei Animation","6.22",10631,"Original"
"689","Manyuu Hikenchou","Hoods Entertainment","6.22",2025,"Manga"
"690","Rerere no Tensai Bakabon","Studio Pierrot","6.22",12088,"Manga"
"691","Photokano","Madhouse","6.22",1484,"Visual novel"
"692","Mini Van 2nd Season","DLE","6.22",10949,"4-koma manga"
"693","Tabi Machi Late Show","CoMix Wave Films","6.22",5336,"Original"
"694","Kaifuku Jutsushi no Yarinaoshi","TNK","6.22",665,"Light novel"
"695","Majutsushi Orphen Hagure Tabi: Kimluck-hen","Studio Deen","6.22",4493,"Light novel"
"696","Panda-Z: The Robonimation","Unknown","6.23",8937,"Unknown"
"697","Kakyuusei (TV)","Unknown","6.23",6934,"Visual novel"
"698","Umi no Triton","Animation Staff Room","6.23",9605,"Manga"
"699","Calimero","Toei Animation","6.23",7487,"Unknown"
"700","Tondera House no Daibouken","Tatsunoko Production","6.23",10194,"Original"
"701","Koala Boy Kokki","Unknown","6.23",11431,"Original"
"702","Chu-Bra!!","Zexcs","6.23",2462,"Manga"
"703","Gegege no Kitarou: Jigoku-hen","Toei Animation","6.23",11251,"Unknown"
"704","Inakappe Taishou","Tatsunoko Production","6.23",12291,"Unknown"
"705","Tono to Issho: Ippunkan Gekijou","Gathering","6.23",7824,"4-koma manga"
"706","Nogsaegjeoncha Hamos","Unknown","6.23",11412,"Manga"
"707","Wooser no Sono Higurashi","SANZIGEN","6.23",4796,"Web manga"
"708","Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori","TMS Entertainment, Shin-Ei Animation","6.23",1416,"Original"
"709","Actors: Songs Connection","Drive","6.23",4543,"Music"
"710","Youkai Watch!","OLM","6.23",9816,"Game"
"711","Psychic Academy","E&G Films","6.24",4910,"Manga"
"712","Himiko-den","Group TAC","6.24",6415,"Game"
"713","Magical Nyan Nyan Taruto","Madhouse, TNK","6.24",6068,"Unknown"
"714","Submarine Super 99","Vega Entertainment","6.24",9726,"Manga"
"715","Izumo: Takeki Tsurugi no Senki","Trinet Entertainment, Studio Kyuuma","6.24",4768,"Visual novel"
"716","Bakukyuu Renpatsu!! Super B-Daman","Xebec","6.24",10432,"Unknown"
"717","Boukensha: The Man Was from Spain","Nippon Animation","6.24",10629,"Unknown"
"718","Honey Honey no Suteki na Bouken","Unknown","6.24",10905,"Manga"
"719","Tanoshii Willow Town","Unknown","6.24",11473,"Book"
"720","Blade","Madhouse","6.24",3410,"Other"
"721","Dragon Collection","OLM","6.24",6783,"Card game"
"722","PriPri Chii-chan!!","OLM","6.24",8088,"Manga"
"723","Isekai wa Smartphone to Tomo ni.","Production Reed","6.24",389,"Light novel"
"724","Magnerobo Ga-Keen","Toei Animation","6.25",10733,"Original"
"725","Choujin Sentai Baratack","Toei Animation","6.25",11272,"Unknown"
"726","Agigongryong Doolie","Unknown","6.25",12644,"Unknown"
"727","Shin Strange+","Seven","6.25",4478,"Manga"
"728","Juuou Mujin no Fafnir","Diomedéa","6.25",1179,"Light novel"
"729","Hidan no Aria AA","Doga Kobo","6.25",1646,"Manga"
"730","Minami Kamakura Koukou Joshi Jitenshabu","J.C.Staff, A.C.G.T.","6.25",3944,"Manga"
"731","Gin no Guardian","Haoliners Animation League","6.25",1555,"Web manga"
"732","Inazma Delivery: Dougyousha Attack-hen","Kanaban Graphics","6.25",12148,"Original"
"733","Sister Princess: Re Pure","Zexcs","6.26",5403,"Light novel"
"734","Ippatsu Kiki Musume","Group TAC","6.26",6267,"Manga"
"735","Get Ride! AMDriver","Studio Deen","6.26",9391,"Unknown"
"736","009-1","Ishimori Entertainment","6.26",3947,"Manga"
"737","Pinocchio yori Piccolino no Bouken","Nippon Animation","6.26",9513,"Novel"
"738","Sasurai no Shoujo Nell","DAX Production","6.26",10373,"Novel"
"739","Toushi Gordian","Tatsunoko Production","6.26",11236,"Original"
"740","Fabre-sensei wa Meitantei","E&G Films","6.26",11570,"Book"
"741","Let's Nupu Nupu","Ajia-Do, Group TAC","6.26",7642,"4-koma manga"
"742","Tokusou Kihei Dorvack","Unknown","6.26",10584,"Unknown"
"743","Obake no Q-tarou (1985)","Unknown","6.26",12662,"Unknown"
"744","Yosuga no Sora: In Solitude, Where We Are Least Alone.","feel.","6.26",369,"Visual novel"
"745","Haiyoru! Nyaruani: Remember My Love(craft-sensei)","DLE","6.26",3271,"Light novel"
"746","Ganso Tensai Bakabon","Unknown","6.26",10975,"Unknown"
"747","Chitose Get You!!","SILVER LINK.","6.26",3830,"4-koma manga"
"748","Komori-san wa Kotowarenai!","Artland","6.26",2229,"4-koma manga"
"749","Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai","TMS Entertainment, Jinnis Animation Studios","6.26",5579,"Game"
"750","Chou Kuse ni Narisou","Studio Kyuuma, Studio Kikan, Azeta Pictures","6.27",9580,"Manga"
"751","Chiisana Kyojin Microman","Studio Pierrot","6.27",10782,"Other"
"752","Shin Megami Tensei Devil Children","Actas","6.27",8953,"Game"
"753","Saikin, Imouto no Yousu ga Chotto Okashiinda ga.","Project No.9","6.27",1083,"Manga"
"754","Warau Salesman New","Shin-Ei Animation","6.27",4092,"Manga"
"755","Cardfight!! Vanguard: Zoku Koukousei-hen","OLM","6.27",7507,"Original"
"756","Kujibiki♥Unbalance","Ajia-Do","6.28",4524,"Other"
"757","B-Legend! Battle B-Daman","Nippon Animation","6.28",4723,"Manga"
"758","Kikou Keisatsu Metal Jack","Sunrise","6.28",10746,"Original"
"759","Rokushin Gattai GodMars","Tokyo Movie Shinsha","6.28",8985,"Unknown"
"760","Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou","Toei Animation","6.28",11193,"Other"
"761","Kouya no Shounen Isamu","Unknown","6.28",11056,"Unknown"
"762","Togainu no Chi","A-1 Pictures","6.28",1731,"Visual novel"
"763","Saint Seiya Omega","Toei Animation","6.28",2550,"Manga"
"764","Arcana Famiglia","J.C.Staff","6.28",864,"Visual novel"
"765","Boku no Kanojo ga Majimesugiru Sho-bitch na Ken","Diomedéa, Studio Blanc","6.28",815,"Web manga"
"766","Azur Lane","Bibury Animation Studios","6.28",1344,"Game"
"767","Youkai Watch Jam: Youkai Gakuen Y - N to no Souguu","OLM","6.28",10776,"Game"
"768","Yatogame-chan Kansatsu Nikki Sansatsume","Creators in Pack, LEVELS","6.28",5602,"4-koma manga"
"769","Popotan","Shaft","6.29",3572,"Visual novel"
"770","Rikujou Bouei-tai Mao-chan","Xebec","6.29",6917,"Original"
"771","Ningyohime Marina no Bouken","Telescreen","6.29",9768,"Unknown"
"772","Mahou no Idol Pastel Yumi","Studio Pierrot","6.29",8743,"Original"
"773","Jarinko Chie (TV)","Tokyo Movie Shinsha","6.29",10944,"Manga"
"774","Restol: Teugsu Gujo Dae","Unknown","6.29",11506,"Unknown"
"775","Meganebu!","Studio Deen","6.29",3074,"Other"
"776","Sekkou Boys","LIDENFILMS","6.29",2383,"Original"
"777","Yami Shibai 3","ILCA","6.29",3131,"Original"
"778","Fate/Extra: Last Encore","Shaft","6.29",943,"Game"
"779","Zoids Wild","OLM","6.29",6521,"Other"
"780","Divergence Eve 2: Misaki Chronicles","Radix","6.3",5883,"Original"
"781","Koutetsu Tenshi Kurumi 2","OLM","6.3",4826,"Original"
"782","Fushigi na Koala Blinky","Nippon Animation","6.3",11065,"Original"
"783","Dororon Enma-kun","Toei Animation","6.3",7714,"Manga"
"784","Genshi Shounen Ryuu","Toei Animation","6.3",9289,"Manga"
"785","Getsumen To Heiki Mina","Gonzo","6.3",5721,"Other"
"786","Giniro no Olynsis: Tokito","Toei Animation","6.3",5644,"Original"
"787","Kappa no Kaikata","Picture Magic","6.3",9130,"Manga"
"788","Ocha-ken: Chokotto Monogatari","Unknown","6.3",10511,"Unknown"
"789","Daisuki! Hello Kitty","Unknown","6.3",8666,"Original"
"790","Himitsu no Akko-chan","Toei Animation","6.3",8628,"Unknown"
"791","Mahou no Mako-chan","Toei Animation","6.3",9786,"Unknown"
"792","Yoiko","Studio Pierrot","6.3",7050,"Manga"
"793","Kodai Ouja Kyouryuu King: Yokuryuu Densetsu","Sunrise","6.3",6080,"Game"
"794","Anmitsu Hime","Studio Pierrot","6.3",10772,"Manga"
"795","Tamagotchi!","OLM Digital","6.3",10343,"Game"
"796","Crush Gear Nitro","Sunrise","6.3",9943,"Unknown"
"797","Yoroshiku Mechadock","Tatsunoko Production","6.3",9578,"Manga"
"798","Yurumates 3D","C2C","6.3",5583,"4-koma manga"
"799","Gregory Horror Show: The Last Train","Milky Cartoon","6.3",10030,"Original"
"800","Pokemon Best Wishes! Season 2: Decolora Adventure","OLM","6.3",3009,"Game"
"801","Kuma Miko","Kinema Citrus, EMT Squared","6.3",1893,"Manga"
"802","Bubuki Buranki","SANZIGEN","6.3",1851,"Original"
"803","Konbini Kareshi","Studio Pierrot","6.3",1839,"Original"
"804","Yami Shibai 5","ILCA","6.3",3837,"Original"
"805","Senran Kagura Shinovi Master: Tokyo Youma-hen","TNK","6.3",2958,"Game"
"806","Beyblade Burst Chouzetsu","OLM","6.3",6015,"Original"
"807","Happy Seven: The TV Manga","Studio Hibari","6.31",6698,"Light novel"
"808","Chouja Raideen","Sunrise","6.31",9057,"Unknown"
"809","Jikuu Tantei Genshi-kun","Group TAC","6.31",5380,"Original"
"810","Galactic Patrol Lensman","Madhouse","6.31",9994,"Unknown"
"811","Juusenshi Gulkeeva","Sunrise","6.31",9372,"Unknown"
"812","Mach GoGoGo (1997)","Tatsunoko Production","6.31",7814,"Manga"
"813","Nanako SOS","Unknown","6.31",9756,"Manga"
"814","Zenryoku Usagi","Unknown","6.31",10840,"Unknown"
"815","Ginga Reppuu Baxingar","Kokusai Eigasha","6.31",10763,"Original"
"816","Nanami-chan 2nd Series","Unknown","6.31",12129,"Unknown"
"817","Muu no Hakugei","Unknown","6.31",10591,"Original"
"818","Happy Happy Clover","Unknown","6.31",10010,"Manga"
"819","Little El Cid no Bouken","Nippon Animation","6.31",11898,"Original"
"820","Marie & Gali","Toei Animation","6.31",7394,"Original"
"821","Shukufuku no Campanella","AIC","6.31",3124,"Visual novel"
"822","Juusen Battle Monsuno","Larx Entertainment","6.31",6333,"Unknown"
"823","Zettai Bouei Leviathan","Gonzo","6.31",3265,"Game"
"824","Kasumin","OLM","6.31",11177,"Unknown"
"825","Mini Hama: Minimum Hamatora","Lerche","6.31",7192,"Original"
"826","Seiren","Studio Gokumi, AXsiZ","6.31",946,"Original"
"827","Hajimete no Gal","NAZ","6.31",412,"Manga"
"828","Flowering Heart 2","Unknown","6.31",10442,"Original"
"829","Gundam Build Divers","Sunrise","6.31",3570,"Original"
"830","Yatogame-chan Kansatsu Nikki Nisatsume","Creators in Pack, Saetta","6.31",4482,"4-koma manga"
"831","Cinderella Boy","Magic Bus","6.32",6128,"Manga"
"832","Bakugan Battle Brawlers","TMS Entertainment","6.32",1753,"Original"
"833","Koutetsu Sangokushi","Picture Magic","6.32",5293,"Unknown"
"834","Tetsuko no Tabi","Group TAC","6.32",8752,"Manga"
"835","Machine Robo: Cronos no Dai Gyakushuu","Production Reed","6.32",9753,"Original"
"836","Kick no Oni","Toei Animation","6.32",11369,"Unknown"
"837","Entaku no Kishi Monogatari: Moero Arthur","Toei Animation","6.32",9976,"Unknown"
"838","Chou Tokkyuu Hikarian","Unknown","6.32",11659,"Unknown"
"839","Shin Mitsubachi Maya no Bouken","Nippon Animation","6.32",8347,"Unknown"
"840","Denkou Chou Tokkyuu Hikarian","Unknown","6.32",12050,"Unknown"
"841","Queen's Blade: Rebellion","Arms","6.32",2740,"Other"
"842","Busou Shinki","8bit","6.32",2795,"Other"
"843","DT Eightron","Sunrise","6.33",9211,"Original"
"844","Wakusei Robo Danguard Ace","Toei Animation","6.33",10029,"Original"
"845","D.I.C.E.","Xebec","6.33",7037,"Unknown"
"846","Pure-tou no Nakama-tachi","Unknown","6.33",11495,"Unknown"
"847","Ougon Bat","Dai-Ichi Douga, Dongyang Animation","6.33",9641,"Novel"
"848","Hareluya II Boy","Triangle Staff","6.33",10048,"Manga"
"849","Ginga Shippuu Sasuraiger","Unknown","6.33",10793,"Original"
"850","Shin Minashigo Hutch","Tatsunoko Production","6.33",11746,"Unknown"
"851","Genji Tsuushin Agedama","Gallop","6.33",10434,"Original"
"852","Senran Kagura","Artland","6.33",1309,"Game"
"853","Usavich V","Kanaban Graphics","6.33",9231,"Original"
"854","Lovely Movie: Itoshi no Muco","Doga Kobo","6.33",10116,"Manga"
"855","Beyblade Burst","OLM","6.33",3986,"Original"
"856","Shoujo-tachi wa Kouya wo Mezasu","Barnum Studio, Project No.9","6.33",1418,"Visual novel"
"857","Inazma Delivery","Kanaban Graphics","6.33",11141,"Original"
"858","Jikan no Shihaisha","Project No.9","6.33",2010,"Manga"
"859","Future Card Buddyfight Battsu","Xebec, OLM","6.33",8131,"Card game"
"860","Tokyo Ghoul:re 2nd Season","Studio Pierrot, Pierrot Plus","6.33",268,"Manga"
"861","Bungou to Alchemist: Shinpan no Haguruma","OLM","6.33",2913,"Game"
"862","Gebäude Bäude","Jinnis Animation Studios","6.33",12297,"Original"
"863","Boukyaku no Senritsu","Gainax, J.C.Staff","6.34",3975,"Manga"
"864","Okusama wa Joshikousei (TV)","Madhouse","6.34",3439,"Manga"
"865","Okusama wa Mahou Shoujo","J.C.Staff","6.34",5421,"Original"
"866","Himawari!","Arms","6.34",3537,"Original"
"867","Human Crossing","A.C.G.T.","6.34",7746,"Manga"
"868","Himesama Goyoujin","Nomad","6.34",8611,"Original"
"869","Monkey Turn","OLM","6.34",10138,"Manga"
"870","Jikuu Boukenki Zentrix","Unknown","6.34",10932,"Original"
"871","Kagaku Ninja-tai Gatchaman F","Tatsunoko Production","6.34",9205,"Unknown"
"872","Ookamikakushi","AIC","6.34",1869,"Visual novel"
"873","Taichi Senjimon","Toei Animation","6.34",10023,"Unknown"
"874","SD Gundam Sangokuden Brave Battle Warriors","Sunrise","6.34",7197,"Original"
"875","Yu☆Gi☆Oh! Zexal","Gallop","6.34",2163,"Manga"
"876","Triage X","Xebec","6.34",1224,"Manga"
"877","Ketsuekigata-kun! 4","feel., Zexcs","6.34",8172,"Web manga"
"878","Juushinki Pandora","Satelight","6.34",2927,"Original"
"879","Gurazeni","Studio Deen","6.34",4890,"Manga"
"880","Mahou Shoujo Tokushusen Asuka","LIDENFILMS","6.34",1954,"Manga"
"881","Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!","Project No.9","6.34",997,"Light novel"
"882","Cluster Edge","Sunrise","6.35",5061,"Original"
"883","Strange Dawn","Hal Film Maker","6.35",7014,"Original"
"884","Demashita! Powerpuff Girls Z","Toei Animation","6.35",3250,"Other"
"885","Saint Beast: Kouin Jojishi Tenshi Tan","Unknown","6.35",5963,"Unknown"
"886","Tentou Mushi no Uta","Tatsunoko Production","6.35",11798,"Manga"
"887","Ultraman Kids: Haha wo Tazunete 3000-man Kounen","Unknown","6.35",12205,"Other"
"888","Duel Masters Cross","Unknown","6.35",8952,"Original"
"889","Phantasy Star Online 2 The Animation","Telecom Animation Film","6.35",2043,"Game"
"890","Nyanbo!","Shirogumi","6.35",6164,"Manga"
"891","Island","feel.","6.35",1362,"Visual novel"
"892","Hangyakusei Million Arthur 2nd Season","J.C.Staff","6.35",4462,"Game"
"893","Breakers","Albacrow","6.35",5351,"Original"
"894","Aikatsu Planet!","Bandai Namco Pictures","6.35",10422,"Game"
"895","Sentimental Journey","Sunrise","6.36",8364,"Original"
"896","Galaxy Angel Rune","Satelight","6.36",6685,"Unknown"
"897","Ayakashi","Tokyo Kids","6.36",3196,"Visual novel"
"898","Mahou Shoujo Lalabel","Toei Animation","6.36",9630,"Unknown"
"899","Catman Series III","Unknown","6.36",10053,"Unknown"
"900","Hoero! Bun Bun","Unknown","6.36",11443,"Unknown"
"901","Domo-kun","dwarf","6.36",8851,"Original"
"902","Miyanishi Tatsuya Gekijou: Omae Umasou da na","Unknown","6.36",9893,"Picture book"
"903","Samurai Giants","Madhouse, Tokyo Movie Shinsha","6.36",10617,"Manga"
"904","Cross Fight B-Daman eS","SynergySP","6.36",8646,"Unknown"
"905","Pretty Rhythm: All Star Selection","Tatsunoko Production, Dongwoo A&E","6.36",8363,"Game"
"906","Dance with Devils","Brain's Base","6.36",1489,"Original"
"907","HaruChika: Haruta to Chika wa Seishun suru","P.A. Works","6.36",1719,"Novel"
"908","Bonobono (TV 2016)","Eiken","6.36",8479,"4-koma manga"
"909","Hataraku Onii-san!","Tomovies","6.36",5876,"Original"
"910","Xenosaga The Animation","Toei Animation","6.37",3838,"Game"
"911","Babel Nisei","Toei Animation","6.37",9747,"Unknown"
"912","Mahou no Angel Sweet Mint","Production Reed","6.37",8951,"Original"
"913","Haai Step Jun","Toei Animation","6.37",10870,"Manga"
"914","The☆Ultraman","Production Reed","6.37",8691,"Other"
"915","Uchuu Taitei God Sigma","Toei Animation","6.37",10866,"Unknown"
"916","Ojarumaru","Gallop","6.37",9942,"Original"
"917","B-Legend! Battle B-Daman Fire Spirits!","Unknown","6.37",6988,"Unknown"
"918","ChäoS;HEAd","Madhouse","6.37",567,"Visual novel"
"919","Examurai Sengoku","TMS Entertainment","6.37",7267,"Other"
"920","Sabu to Ichi Torimono Hikae","Toei Animation","6.37",9458,"Manga"
"921","X-Men","Madhouse","6.37",3454,"Other"
"922","Oneechan ga Kita","C2C","6.37",1538,"4-koma manga"
"923","Eikoku Ikka, Nihon wo Taberu","Fanworks","6.37",10181,"Book"
"924","Hundred","Production IMS","6.37",526,"Light novel"
"925","Ring ni Kakero 1","Toei Animation","6.38",7333,"Manga"
"926","Magikano","Tokyo Kids","6.38",2940,"Manga"
"927","Geneshaft","Satelight","6.38",4544,"Original"
"928","The SoulTaker: Tamashii-gari","Tatsunoko Production","6.38",3472,"Original"
"929","Sore Ike! Anpanman","TMS Entertainment","6.38",8580,"Picture book"
"930","Joou Heika no Petite Angie","Nippon Animation, Production Reed","6.38",10390,"Original"
"931","Mori no Youki na Kobito-tachi: Belfy to Lillibit","Tatsunoko Production","6.38",10112,"Unknown"
"932","God Mazinger","Unknown","6.38",8952,"Manga"
"933","Fushigi na Melmo","Tezuka Productions","6.38",10256,"Manga"
"934","Gokujou!! Mecha Mote Iinchou","SynergySP","6.38",5806,"Manga"
"935","Perman","Unknown","6.38",8550,"Unknown"
"936","Qin Shi Ming Yue: Bai Bu Fei Jian","Sparkly Key Animation Studio","6.38",7944,"Novel"
"937","Walkure Romanze","8bit","6.38",1309,"Visual novel"
"938","Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd","Production IMS","6.38",3809,"Original"
"939","Uchuu Senkan Tiramisù","Gonzo","6.38",3356,"Web manga"
"940","Zhandou Wang Zhi Jufeng Zhan Hun","Unknown","6.38",12164,"Original"
"941","Chao Zhi Neng Zu Qiu","Unknown","6.38",11468,"Original"
"942","Venus Versus Virus","Studio Hibari","6.39",3178,"Manga"
"943","Saint October","Studio Comet","6.39",6305,"Original"
"944","Kero Kero Chime","Unknown","6.39",10454,"Manga"
"945","Kiko-chan Smile","Eiken, Magic Bus","6.39",10889,"Manga"
"946","Kojika Monogatari","Unknown","6.39",11549,"Novel"
"947","Chouon Senshi Borgman","Production Reed, Asahi Production","6.39",8555,"Other"
"948","Himitsu no Akko-chan 3","Toei Animation","6.39",11162,"Unknown"
"949","Mahoutsukai Sally 2","Toei Animation","6.39",10076,"Unknown"
"950","Tatakae!! Ramenman","Toei Animation","6.39",10385,"Unknown"
"951","Suhoyojeong Michel","Unknown","6.39",11571,"Unknown"
"952","Tondemo Senshi Muteking","Tatsunoko Production","6.39",11922,"Unknown"
"953","Seikon no Qwaser II","Hoods Entertainment","6.39",1283,"Manga"
"954","Cross Fight B-Daman","SynergySP","6.39",6365,"Unknown"
"955","Jewelpet Magical Change","Studio Deen","6.39",8773,"Original"
"956","ChäoS;Child","SILVER LINK.","6.39",1312,"Visual novel"
"957","Ketsuekigata-kun! 3","feel., Zexcs, Assez Finaud Fabric","6.39",7965,"Web manga"
"958","Berserk","Millepensee, GEMBA","6.39",574,"Manga"
"959","Vatican Kiseki Chousakan","J.C.Staff","6.39",2520,"Novel"
"960","Fumikiri Jikan","EKACHI EPILKA","6.39",2840,"Manga"
"961","Fairy Gone 2nd Season","P.A. Works","6.39",2756,"Original"
"962","Choujuushin Gravion","Gonzo","6.4",4677,"Original"
"963","Megami Kouhosei","Xebec","6.4",3724,"Manga"
"964","Oishinbo","Shin-Ei Animation","6.4",8947,"Manga"
"965","Bomberman B-Daman Bakugaiden Victory","Madhouse","6.4",9522,"Unknown"
"966","Ashita e Attack!","Nippon Animation","6.4",9543,"Original"
"967","Beast Wars Second Chou Seimeitai Transformers","Production Reed","6.4",8671,"Unknown"
"968","Pokemon Best Wishes!","OLM","6.4",1796,"Game"
"969","Yurumates 3D Plus","C2C","6.4",6862,"Unknown"
"970","Miss Monochrome The Animation","SANZIGEN, LIDENFILMS","6.4",2447,"Original"
"971","Kuusen Madoushi Kouhosei no Kyoukan","Diomedéa","6.4",748,"Light novel"
"972","Joshiochi!: 2-kai kara Onnanoko ga... Futtekita!?","Ark","6.4",2561,"Manga"
"973","Hataraku Onii-san! no 2!","Fanworks, Tomovies","6.4",8076,"Original"
"974","Shin Chuuka Ichiban!","Production I.G, Nihon Ad Systems","6.4",5209,"Manga"
"975","King of Prism: Shiny Seven Stars","Tatsunoko Production","6.4",7553,"Original"
"976","Skate-Leading☆Stars","J.C.Staff","6.4",3561,"Original"
"977","Happiness!","Artland","6.41",2865,"Visual novel"
"978","Blue Dragon","Studio Pierrot","6.41",2458,"Game"
"979","Uchuu Kaizoku Mito no Daibouken","Genco, Triangle Staff","6.41",8918,"Unknown"
"980","Mahoutsukai Sally","Toei Animation","6.41",7892,"Manga"
"981","Astroganger","Toei Animation","6.41",10274,"Unknown"
"982","Bakugan Battle Brawlers: New Vestroia","TMS Entertainment","6.41",2372,"Original"
"983","Video Senshi Lezarion","Toei Animation","6.41",10924,"Unknown"
"984","Maken-Ki!","AIC Spirits","6.41",680,"Manga"
"985","Perman (1983)","Shin-Ei Animation","6.41",8753,"Unknown"
"986","Pokemon Best Wishes! Season 2","OLM","6.41",2364,"Game"
"987","Rail Wars!","Passione","6.41",892,"Light novel"
"988","Hacka Doll The Animation","Creators in Pack","6.41",2543,"Other"
"989","ClassicaLoid","Sunrise","6.41",3449,"Original"
"990","Phantom in the Twilight","LIDENFILMS","6.41",2724,"Original"
"991","Katsute Kami Datta Kemono-tachi e","MAPPA","6.41",1496,"Manga"
"992","Nanatsu no Taizai: Kamigami no Gekirin","Studio Deen, Marvy Jack","6.41",327,"Manga"
"993","2.43: Seiin Koukou Danshi Volley-bu","David Production","6.41",1951,"Novel"
"994","Cardfight!! Vanguard Gaiden: If","OLM","6.41",8912,"Original"
"995","Zoids Fuzors","Unknown","6.42",4944,"Unknown"
"996","Moetan","Actas","6.42",3268,"Other"
"997","F-Zero: Falcon Densetsu","Production Reed","6.42",5550,"Game"
"998","Fortune Quest L","Unknown","6.42",9440,"Novel"
"999","Kikou Kantai Dairugger XV","Toei Animation","6.42",8867,"Unknown"
"1000","Konchuu Monogatari Minashigo Hutch","Tatsunoko Production","6.42",8528,"Original"
"1001","Shin Megami Tensei Devil Children: Light & Dark","Actas","6.42",9689,"Unknown"
"1002","Wakakusa no Yon Shimai","Toei Animation","6.42",10430,"Novel"
"1003","Muteki Robo Trider G7","Sunrise","6.42",10678,"Original"
"1004","Tensai Bakabon","Unknown","6.42",10845,"Unknown"
"1005","Ring ni Kakero 1: Kage Dou-hen","Toei Animation","6.42",9817,"Manga"
"1006","Chousoku Henkei Gyrozetter","A-1 Pictures","6.42",6696,"Game"
"1007","Genei wo Kakeru Taiyou","AIC","6.42",2316,"Original"
"1008","Captain Earth","Bones","6.42",1991,"Original"
"1009","Kagewani","Tomovies","6.42",3068,"Original"
"1010","Show By Rock!! Short!!","Bones","6.42",4705,"Game"
"1011","12-sai.: Chicchana Mune no Tokimeki","OLM","6.42",3161,"Manga"
"1012","Frame Arms Girl","Zexcs, Studio A-CAT","6.42",3053,"Other"
"1013","RoboMasters the Animated Series","Gonzo, DandeLion Animation Studio","6.42",4694,"Original"
"1014","Animegataris","WAO World","6.42",1976,"Original"
"1015","Komatta Jiisan","Kachidoki Studio","6.42",7604,"Manga"
"1016","Sister Princess","Zexcs","6.43",3576,"Light novel"
"1017","Yume Tsukai","Madhouse","6.43",5450,"Manga"
"1018","GR: Giant Robo","A.C.G.T.","6.43",8031,"Unknown"
"1019","Go-Q-Choji Ikkiman","Toei Animation","6.43",11421,"Manga"
"1020","Little Lulu to Chicchai Nakama","Nippon Animation","6.43",11284,"Unknown"
"1021","Battle Spirits: Shounen Toppa Bashin","Sunrise, Toei Animation","6.43",8102,"Card game"
"1022","Dokonjou Gaeru","Tokyo Movie Shinsha","6.43",10121,"Manga"
"1023","Reporter Blues","TMS Entertainment","6.43",11159,"Original"
"1024","Kiniro no Corda: Blue♪Sky","TYO Animations","6.43",3395,"Visual novel"
"1025","Future Card Buddyfight Triple D","Xebec, OLM","6.43",7834,"Card game"
"1026","Takunomi.","Production IMS","6.43",2659,"Web manga"
"1027","Kitsune no Koe","Yumeta Company","6.43",3975,"Manga"
"1028","Hashiri Tsuzukete Yokattatte.","Signal.MD","6.43",4928,"Original"
"1029","To Heart: Remember My Memories","OLM, AIC ASTA","6.44",5409,"Visual novel"
"1030","Android Ana Maico 2010","Group TAC, Animaruya","6.44",7925,"Manga"
"1031","Tactical Roar","Actas","6.44",5124,"Unknown"
"1032","Jagainu-kun","Unknown","6.44",9900,"Unknown"
"1033","Code-E","Studio Deen","6.44",4029,"Original"
"1034","Mitsubachi Maya no Bouken","Nippon Animation","6.44",5587,"Book"
"1035","Kuusou Kagaku Sekai Gulliver Boy","Toei Animation","6.44",10218,"Unknown"
"1036","Kikou Kai Galient","Sunrise","6.44",8217,"Original"
"1037","Hamster Club","Unknown","6.44",11535,"Unknown"
"1038","Sengoku Collection","Brain's Base","6.44",3518,"Game"
"1039","Gakkatsu! 2nd Season","Fanworks","6.44",9257,"Unknown"
"1040","Ninja Hattori-kun (2012)","Shin-Ei Animation","6.44",9619,"Manga"
"1041","Galilei Donna","A-1 Pictures","6.44",2274,"Original"
"1042","Kanojo ga Flag wo Oraretara","Hoods Entertainment","6.44",964,"Light novel"
"1043","Takamiya Nasuno Desu!: Teekyuu Spin-off","Millepensee","6.44",4506,"Manga"
"1044","Brave Beats","Bandai Namco Pictures","6.44",7162,"Original"
"1045","Future Card Shin Buddyfight","Xebec, OLM","6.44",9108,"Card game"
"1046","Araiya-san!: Ore to Aitsu ga Onnayu de!?","Magic Bus","6.44",2868,"Manga"
"1047","Girls Bravo: First Season","AIC Spirits","6.45",1194,"Manga"
"1048","Ikkitousen","J.C.Staff","6.45",1118,"Manga"
"1049","Binzume Yousei","Xebec","6.45",3995,"Original"
"1050","Transformers: The☆Headmasters","Toei Animation","6.45",7764,"Other"
"1051","Cutey Honey","Toei Animation","6.45",4399,"Manga"
"1052","Prism Ark","Front Line","6.45",3591,"Visual novel"
